indexHour,temperatureC
1,6.971590909
2,6.971590909
3,6.971590909
4,6.971590909
5,6.971590909
6,6.971590909
7,6.971590909
8,6.971590909
9,6.971590909
10,6.971590909
11,6.971590909
12,6.971590909
13,6.971590909
14,6.971590909
15,6.971590909
16,6.971590909
17,6.971590909
18,6.971590909
19,6.971590909
20,6.971590909
21,6.971590909
22,6.971590909
23,6.971590909
24,6.971590909
25,7.264583333
26,7.264583333
27,7.264583333
28,7.264583333
29,7.264583333
30,7.264583333
31,7.264583333
32,7.264583333
33,7.264583333
34,7.264583333
35,7.264583333
36,7.264583333
37,7.264583333
38,7.264583333
39,7.264583333
40,7.264583333
41,7.264583333
42,7.264583333
43,7.264583333
44,7.264583333
45,7.264583333
46,7.264583333
47,7.264583333
48,7.264583333
49,8.904166667
50,8.904166667
51,8.904166667
52,8.904166667
53,8.904166667
54,8.904166667
55,8.904166667
56,8.904166667
57,8.904166667
58,8.904166667
59,8.904166667
60,8.904166667
61,8.904166667
62,8.904166667
63,8.904166667
64,8.904166667
65,8.904166667
66,8.904166667
67,8.904166667
68,8.904166667
69,8.904166667
70,8.904166667
71,8.904166667
72,8.904166667
73,10.55729167
74,10.55729167
75,10.55729167
76,10.55729167
77,10.55729167
78,10.55729167
79,10.55729167
80,10.55729167
81,10.55729167
82,10.55729167
83,10.55729167
84,10.55729167
85,10.55729167
86,10.55729167
87,10.55729167
88,10.55729167
89,10.55729167
90,10.55729167
91,10.55729167
92,10.55729167
93,10.55729167
94,10.55729167
95,10.55729167
96,10.55729167
97,11.27708333
98,11.27708333
99,11.27708333
100,11.27708333
101,11.27708333
102,11.27708333
103,11.27708333
104,11.27708333
105,11.27708333
106,11.27708333
107,11.27708333
108,11.27708333
109,11.27708333
110,11.27708333
111,11.27708333
112,11.27708333
113,11.27708333
114,11.27708333
115,11.27708333
116,11.27708333
117,11.27708333
118,11.27708333
119,11.27708333
120,11.27708333
121,12.15416667
122,12.15416667
123,12.15416667
124,12.15416667
125,12.15416667
126,12.15416667
127,12.15416667
128,12.15416667
129,12.15416667
130,12.15416667
131,12.15416667
132,12.15416667
133,12.15416667
134,12.15416667
135,12.15416667
136,12.15416667
137,12.15416667
138,12.15416667
139,12.15416667
140,12.15416667
141,12.15416667
142,12.15416667
143,12.15416667
144,12.15416667
145,11.446875
146,11.446875
147,11.446875
148,11.446875
149,11.446875
150,11.446875
151,11.446875
152,11.446875
153,11.446875
154,11.446875
155,11.446875
156,11.446875
157,11.446875
158,11.446875
159,11.446875
160,11.446875
161,11.446875
162,11.446875
163,11.446875
164,11.446875
165,11.446875
166,11.446875
167,11.446875
168,11.446875
169,10.46666667
170,10.46666667
171,10.46666667
172,10.46666667
173,10.46666667
174,10.46666667
175,10.46666667
176,10.46666667
177,10.46666667
178,10.46666667
179,10.46666667
180,10.46666667
181,10.46666667
182,10.46666667
183,10.46666667
184,10.46666667
185,10.46666667
186,10.46666667
187,10.46666667
188,10.46666667
189,10.46666667
190,10.46666667
191,10.46666667
192,10.46666667
193,10.4
194,10.4
195,10.4
196,10.4
197,10.4
198,10.4
199,10.4
200,10.4
201,10.4
202,10.4
203,10.4
204,10.4
205,10.4
206,10.4
207,10.4
208,10.4
209,10.4
210,10.4
211,10.4
212,10.4
213,10.4
214,10.4
215,10.4
216,10.4
217,11.00208333
218,11.00208333
219,11.00208333
220,11.00208333
221,11.00208333
222,11.00208333
223,11.00208333
224,11.00208333
225,11.00208333
226,11.00208333
227,11.00208333
228,11.00208333
229,11.00208333
230,11.00208333
231,11.00208333
232,11.00208333
233,11.00208333
234,11.00208333
235,11.00208333
236,11.00208333
237,11.00208333
238,11.00208333
239,11.00208333
240,11.00208333
241,10.04375
242,10.04375
243,10.04375
244,10.04375
245,10.04375
246,10.04375
247,10.04375
248,10.04375
249,10.04375
250,10.04375
251,10.04375
252,10.04375
253,10.04375
254,10.04375
255,10.04375
256,10.04375
257,10.04375
258,10.04375
259,10.04375
260,10.04375
261,10.04375
262,10.04375
263,10.04375
